今日から私たちは ~GFRIEND 1st BEST~
Glass Bead -JP ver.,,430252,,?
今日から私たちは (Me Gustas Tu) -JP ver.,,428125,,X
トキヲコエテ (Rough) -JP ver.,,430251,,?
NAVILLERA -JP ver.,,430250,,X
LOVE WHISPER -JP ver.,,430249,,X
TRUST -JP ver.,,430248,,X

Memoria/夜(Time for the moon night)
Memoria,,433058,,X
夜(Time for the moon night) -JP ver.,,434045,,X

SUNRISE
SUNRISE -JP ver.-,,507010,,O
La pam pam,,436856,,X

FLOWER
FLOWER,,437785,,X
Beautiful,,438641,,X

Fallin' Light
Fallin' Light (天使の梯子),,444794,,X
Emotional Days,,445719,,X
Memoria,,433058,,X
恋の始まり,,-,,X
FLOWER,,437785,,X
My My My!,,-,,X
夜(Time for the moon night) -JP ver.,,434045,,X
SUNRISE -JP ver.-,,507010,,O
La pam pam,,436856,,X
Beautiful,,438641,,X
My Buddy -JP ver.-,,-,,X

回:LABYRINTH ~Crossroads~
Crossroads -JP ver.-,,-,,X
Labyrinth -JP ver.-,,-,,X

回:Song of the Sirens ~Apple~
Apple -JP ver.-,,-,,X
Tarot Cards -JP ver.-,,-,,X
